Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR18170917_R1_process2	51.89715694304367	48.0	88.06002203896806	90	18.181818181818183	26794358.0
SRR18170917_R2_process2	46.921894071136336	50.0	89.13661898523563	90	0.0	26794358.0
SRR18170918_R1_process2	52.96496002280432	48.0	88.16264604203043	90	18.181818181818183	31925056.0
SRR18170918_R2_process2	47.8560979222442	50.0	89.18006878359117	90	0.0	31925056.0
SRR18170919_R1_process2	54.77910290782583	48.0	88.13297018994881	90	18.181818181818183	30051307.0
SRR18170919_R2_process2	50.211422559179155	50.0	89.12753345470132	90	9.090909090909092	30051307.0
SRR18170921_R1_process2	58.56348718938346	46.0	88.0944649179997	90	18.181818181818183	70229077.0
SRR18170921_R2_process2	52.11453608317171	48.0	89.30921860186201	90	9.090909090909092	70229077.0
SRR18170928_R1_process2	51.34753044433509	47.0	88.63066514888757	90	18.181818181818183	30997045.0
SRR18170928_R2_process2	46.515180214546405	48.0	89.27525259262617	90	0.0	30997045.0
SRR18170929_R1_process2	56.926572606002566	47.0	88.11460905638575	90	18.181818181818183	43178682.0
SRR18170929_R2_process2	51.78836571382552	49.0	89.20031746221434	90	9.090909090909092	43178682.0
SRR18170930_R1_process2	49.85281108387702	48.0	88.45775087852192	90	9.090909090909092	37967180.0
SRR18170930_R2_process2	44.020083821601666	50.0	89.14596601591164	90	0.0	37967180.0
SRR18170931_R1_process2	52.45832650691084	48.0	88.23224722382201	90	18.181818181818183	55496982.0
SRR18170931_R2_process2	46.72698324177307	49.0	88.9118922538887	90	0.0	55496982.0
