Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR3437051_R1_process2	SRR3437051_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6390642.0	455.5 Mbp	0.0	15-91	49.0	72.63609649281729	70.50692935076006	86	pass	pass	pass	pass	pass	warn	warn	pass	pass	pass
SRR3437051_R2_process2	SRR3437051_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6390642.0	401.6 Mbp	0.0	15-91	48.0	81.00430319359731	62.145523720465015	70	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437052_R1_process2	SRR3437052_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7096571.0	506.6 Mbp	0.0	15-91	48.0	64.57762714479308	70.61447761179308	86	pass	pass	pass	pass	pass	warn	warn	warn	pass	pass
SRR3437052_R2_process2	SRR3437052_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7096571.0	447.5 Mbp	0.0	15-91	48.0	74.44043779292657	62.36910107712584	72	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437053_R1_process2	SRR3437053_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8561003.0	612.2 Mbp	0.0	15-91	47.0	44.13307697989409	70.76964907032506	90	pass	pass	pass	pass	pass	pass	warn	fail	warn	pass
SRR3437053_R2_process2	SRR3437053_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8561003.0	618.1 Mbp	0.0	15-91	47.0	45.63164261550709	71.40756591254552	90	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
SRR3437054_R1_process2	SRR3437054_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8501737.0	606.4 Mbp	0.0	15-91	49.0	57.736747318229554	70.59749719380875	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437054_R2_process2	SRR3437054_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8501737.0	611.1 Mbp	0.0	15-91	48.0	60.66448767349692	71.09105233436414	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437055_R1_process2	SRR3437055_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7168989.0	513.4 Mbp	0.0	15-91	48.0	62.955398551871156	70.83886082123993	86	pass	pass	pass	pass	pass	warn	warn	warn	pass	pass
SRR3437055_R2_process2	SRR3437055_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7168989.0	457.4 Mbp	0.0	15-91	47.0	73.01353038657204	63.10513156039157	74	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437056_R1_process2	SRR3437056_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11256369.0	873.3 Mbp	0.0	15-91	47.0	41.612955453267496	76.75655924214993	90	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
SRR3437056_R2_process2	SRR3437056_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11256369.0	847.8 Mbp	0.0	15-91	47.0	41.517814906696984	74.50784884539588	90	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
SRR3437057_R1_process2	SRR3437057_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8376694.0	598 Mbp	0.0	15-91	48.0	69.52846551755809	70.61885679481667	86	pass	pass	pass	pass	pass	warn	warn	warn	pass	pass
SRR3437057_R2_process2	SRR3437057_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8376694.0	528 Mbp	0.0	15-91	47.0	78.1139687687024	62.339772229951336	72	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437058_R1_process2	SRR3437058_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8039365.0	644.6 Mbp	0.0	15-91	50.0	69.22408793173527	79.32557210675222	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437058_R2_process2	SRR3437058_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8039365.0	573.8 Mbp	0.0	15-91	50.0	73.89265138319092	70.59186415842545	90	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437059_R1_process2	SRR3437059_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12783006.0	991.5 Mbp	0.0	15-91	46.0	45.20052479388278	76.73543531153783	90	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
SRR3437059_R2_process2	SRR3437059_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12783006.0	958.2 Mbp	0.0	15-91	46.0	45.28596102465156	74.15625604806881	90	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
SRR3437060_R1_process2	SRR3437060_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5489669.0	440.7 Mbp	0.0	15-91	49.0	62.689162867227246	79.43083453665422	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437060_R2_process2	SRR3437060_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5489669.0	400.5 Mbp	0.0	15-91	49.0	67.13164616436053	72.166040976241	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437061_R1_process2	SRR3437061_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12645008.0	904 Mbp	0.0	15-91	48.0	66.78519284021215	70.71724841929716	86	pass	pass	pass	pass	pass	warn	warn	warn	pass	pass
SRR3437061_R2_process2	SRR3437061_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12645008.0	797 Mbp	0.0	15-91	48.0	77.31976608378041	62.33236088106864	72	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437062_R1_process2	SRR3437062_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7122793.0	509.3 Mbp	0.0	15-91	48.0	70.16986395135318	70.73355072932766	86	pass	pass	pass	pass	pass	warn	warn	pass	pass	pass
SRR3437062_R2_process2	SRR3437062_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7122793.0	450.7 Mbp	0.0	15-91	47.0	78.51061172614276	62.577070539604335	72	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437063_R1_process2	SRR3437063_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14178944.0	1 Gbp	0.0	15-91	50.0	60.64268015147077	75.9379934076896	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437063_R2_process2	SRR3437063_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14178944.0	1 Gbp	0.0	15-91	50.0	60.600041177776944	73.43867032692985	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437064_R1_process2	SRR3437064_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10250996.0	791 Mbp	0.0	15-91	48.0	61.830840429257805	76.4004711347073	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437064_R2_process2	SRR3437064_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10250996.0	699.9 Mbp	0.0	15-91	47.0	67.56698788926295	67.52978773964989	86	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437065_R1_process2	SRR3437065_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9688185.0	734.7 Mbp	0.0	15-91	49.0	60.78453325568395	75.09122812993353	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437065_R2_process2	SRR3437065_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9688185.0	650.9 Mbp	0.0	15-91	48.0	66.48369998393983	66.44975338517999	82	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437066_R1_process2	SRR3437066_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5732307.0	460 Mbp	0.0	15-91	49.0	53.084976927344215	79.3943457668963	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437066_R2_process2	SRR3437066_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5732307.0	417.7 Mbp	0.0	15-91	49.0	57.533703421264704	72.06751941234131	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437067_R1_process2	SRR3437067_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11332807.0	866.1 Mbp	0.0	15-91	48.0	67.32586995626394	75.66747373355956	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437067_R2_process2	SRR3437067_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11332807.0	765.8 Mbp	0.0	15-91	47.0	72.37240917767701	66.83903114206392	84	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437068_R1_process2	SRR3437068_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13108404.0	1 Gbp	0.0	15-91	47.0	59.68010240558866	76.41841707045343	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437068_R2_process2	SRR3437068_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13108404.0	901.3 Mbp	0.0	15-91	46.0	64.09151865208624	68.00825333122171	88	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437069_R1_process2	SRR3437069_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11740197.0	904.8 Mbp	0.0	15-91	48.0	62.037327569905585	76.30684238092427	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437069_R2_process2	SRR3437069_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11740197.0	799.3 Mbp	0.0	15-91	47.0	67.24991363950092	67.33504829603797	86	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437070_R1_process2	SRR3437070_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15996395.0	1.2 Gbp	0.0	15-91	49.0	62.14593452370261	75.88807953291976	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437070_R2_process2	SRR3437070_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15996395.0	1 Gbp	0.0	15-91	48.0	66.29965018231438	66.8816011357559	84	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437071_R1_process2	SRR3437071_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15927097.0	1.2 Gbp	0.0	15-91	48.0	63.96918376850898	76.36309140328586	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437071_R2_process2	SRR3437071_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15927097.0	1 Gbp	0.0	15-91	47.0	67.84059876598269	67.77634241820716	86	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437072_R1_process2	SRR3437072_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11547525.0	886.2 Mbp	0.0	15-91	48.0	62.30839184732753	75.9862093392307	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437072_R2_process2	SRR3437072_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11547525.0	782.4 Mbp	0.0	15-91	48.0	67.60405003267851	67.01146851814566	84	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437073_R1_process2	SRR3437073_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4746490.0	379.4 Mbp	0.0	15-91	50.0	55.15079526919836	79.09314714662835	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437073_R2_process2	SRR3437073_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4746490.0	344.3 Mbp	0.0	15-91	50.0	59.44450164021842	71.75731835524778	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437074_R1_process2	SRR3437074_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9418319.0	676.4 Mbp	0.0	15-91	47.0	63.30859045978414	71.04846204508469	86	pass	pass	pass	pass	pass	warn	warn	warn	pass	pass
SRR3437074_R2_process2	SRR3437074_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9418319.0	601.3 Mbp	0.0	15-91	46.0	72.8979838119318	63.14111318590929	74	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
