Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR18170917_1	53.449613420883786	49.0	100.0	100	18.181818181818183	29645314.0
SRR18170917_2	51.033765781820975	51.0	100.0	100	18.181818181818183	29645314.0
SRR18170918_1	54.1241472873554	49.0	100.0	100	18.181818181818183	35438038.0
SRR18170918_2	51.68199795400845	51.0	100.0	100	18.181818181818183	35438038.0
SRR18170919_1	56.02876400015091	49.0	100.0	100	18.181818181818183	33248147.0
SRR18170919_2	53.85831101772654	51.0	100.0	100	18.181818181818183	33248147.0
SRR18170921_1	59.039811881702136	47.0	100.0	100	18.181818181818183	76366314.0
SRR18170921_2	55.30543800234267	49.0	100.0	100	18.181818181818183	76366314.0
SRR18170928_1	51.27923288666656	48.0	100.0	100	18.181818181818183	33441386.0
SRR18170928_2	48.926850091602844	50.0	100.0	100	9.090909090909092	33441386.0
SRR18170929_1	57.78720262035335	49.0	100.0	100	18.181818181818183	47034636.0
SRR18170929_2	54.80258631269544	50.0	100.0	100	18.181818181818183	47034636.0
SRR18170930_1	49.24154661313168	49.0	100.0	100	9.090909090909092	40509249.0
SRR18170930_2	46.47129436244111	51.0	100.0	100	9.090909090909092	40509249.0
SRR18170931_1	51.80208211642846	49.0	100.0	100	9.090909090909092	58412944.0
SRR18170931_2	48.54581185211612	50.0	100.0	100	0.0	58412944.0
